DY
189
23
Life expectancy at birth 2019;Expected years of schooling 2019;Mean years of schooling 2019;Gross national income (GNI) per capita 2019;GNI per capita rank minus HDI rank 2019;Refugees by country of origin 1000s 2019;Internally displaced persons 1000s;Homeless people due to natural disaster avergae per million;Orphaned children 1000s 2019;Prison population per 100k 2013-18;Homicide rate per 100k 2013-18;Suicides per 100K Female 2016;Suicides per 100K Male 2016;HIV prevalence adult % 15-49;Healthy life expectancy at birth;Current health expenditure % GDP;Exports and imports % GDP;Foreign direct investment net inflows  % GDP;Net migration rate per 1000;Lost health expectancy;Physicians per 100k;Hospital beds;Pupil–teacher ratio primary school
Barbados;79.19;15.39;10.64;14935.91;20;0.25;;0;2.6;296.2;9.77;0.3;0.8;1.5;66.7;6.78;83.69;3.84;-0.28;12.46;24.84;59.7;13.99;1
Oman;77.86;14.18;9.73;25944.07;-5;0.05;;0;29;;0.27;0.9;4.8;0.2;64.76;3.85;100.69;8;18.65;12.44;20.03;14.7;9.67;1
Georgia;73.77;15.28;13.13;14428.8;22;7.52;301;134.84;67;239.2;2.22;1.9;12.3;0.4;64.49;7.6;116.87;7.15;-2.5;12.14;71.2;28.9;8.98;1
Costa Rica;80.28;15.65;8.74;18486.37;6;0.21;;0;44;287.4;11.26;2.3;12.8;0.4;69.38;7.33;66.1;4.06;0.85;13.36;28.94;11;12.2;1
Malaysia;76.16;13.68;10.37;27534.1;-11;1.16;;0;430;178.1;2.13;3.6;8.7;0.4;65.65;3.86;123.09;2.39;1.6;12.51;15.36;18.8;11.66;1
Kuwait;75.49;14.25;7.28;58590.08;-51;1.31;;;;147.9;;1.7;2.5;0.1;70.25;5.29;100.49;-0.02;9.75;13.77;26.46;20.4;8.88;1
Serbia;76;14.74;11.19;17191.67;8;;;15.02;100;156.4;1.23;5.2;17.3;0.1;66.33;8.43;112.64;8.33;0.45;12.36;31.13;56.1;14.29;1
Mauritius;74.99;15.06;9.54;25266.21;-10;0.18;;0;;193.1;2.92;2.2;12.5;1.3;65.15;5.72;92.81;2.62;0;13.68;25.33;34;16.2;1
Seychelles;73.4;14.15;9.99;26903.25;-15;0.02;;0;;393.8;12.54;2.1;15;;64.36;5.01;155.25;13.87;-2.07;12.51;21.21;36;14.49;2
Trinidad and Tobago;73.51;12.96;11.03;26230.72;-14;0.31;;0;21;287.7;30.65;4.3;21.9;;65.18;6.98;;-2.95;-0.58;12.95;41.68;30.2;17.58;2
Albania;78.57;14.7;10.15;13998.3;18;15.03;;4.69;22;184.4;2.29;4.3;7;;68.86;;76.73;7.91;-4.85;12.28;12.16;28.9;17.57;2
Cuba;78.8;14.28;11.79;8620.72;45;6.64;;1310.28;91;;5.05;4.1;16.4;0.4;68.43;11.71;27.09;;-1.27;13.01;84.22;53.3;9.16;2
Iran (Islamic Republic of);76.68;14.81;10.35;12446.67;26;129.68;;32.6;710;293.4;2.5;3.1;4.9;0.1;66.83;8.66;48.78;1.13;-0.68;14.06;15.84;15.6;28.52;2
Sri Lanka;76.98;14.11;10.63;12707.37;23;110.36;27;5225.84;300;97.5;2.42;6.2;23.3;0.1;66.95;3.81;52.37;1.82;-4.63;13.4;10.04;41.5;21.74;2
Bosnia and Herzegovina;77.4;13.8;9.82;14871.81;7;16.56;99;0;;84.1;1.17;2.5;10.6;0.1;66.96;8.93;95.88;2.58;-6.43;13;21.62;34.9;16.93;2
Grenada;72.4;16.87;9.03;15640.89;3;0.08;;;;414.4;10.82;1;2.1;;64.03;4.76;110.05;13.16;-1.8;12.67;14.07;35.7;16.35;2
Mexico;75.05;14.81;8.75;19159.84;-8;14.62;345;39.67;;155.6;29.07;2.3;8.2;0.2;65.36;5.52;78.18;2.3;-0.48;13.59;23.83;9.8;26.55;2
Saint Kitts and Nevis;74.76;13.85;8.66;25037.51;-17;0.06;;0;;423.1;;;;;63.11;5.04;122.67;9.26;;12.46;26.76;;13.87;2
Ukraine;72.07;15.07;11.4;13215.94;19;59.85;730;4.03;660;128.3;6.18;4.7;34.5;1;64.62;7;90.17;1.98;0.23;12.48;29.92;74.6;12.98;2
Antigua and Barbuda;77.02;12.77;9.29;20895.36;-15;0.12;;0;;317.7;;0.9;0;;66.62;4.53;90.19;8.39;0;12.67;29.56;28.9;12.41;2
Peru;76.74;14.99;9.7;12252.3;19;2.77;60;190.3;490;284.3;7.91;2.7;7.6;0.3;69.9;5;47.12;2.92;3.12;12.89;13.05;15.9;17.39;2
Thailand;77.15;15.03;7.94;17781.19;-10;0.47;41;22.95;990;527.6;2.58;4.8;21.4;1.1;68.4;3.75;110.3;1.16;0.28;12.78;8.05;;16.64;2
Armenia;75.09;13.07;11.3;13894.01;9;10.97;8.4;0;39;76.8;1.69;2;10.1;0.2;66.64;10.36;91.43;1.86;-1.7;12.01;44.02;41.6;15.42;2
North Macedonia;75.8;13.59;9.81;15864.63;-7;1.79;0.1;0;;108.3;1.2;3;9.7;0.1;65.38;6.06;137.28;3.76;-0.48;12.09;28.74;42.8;14.91;2
Colombia;77.29;14.4;8.47;14256.67;3;80.69;5576;23.87;690;234.6;25.34;2.8;11.5;0.4;69.57;7.23;38.09;4.48;4.16;13.25;21.85;17.1;23.3;2
Brazil;75.88;15.41;7.98;14262.93;1;1.4;;74.31;;344.2;27.38;2.8;9.7;0.5;65.2;9.47;28.98;4.27;0.1;14.04;21.64;20.9;20.22;2
China;76.91;13.98;8.06;16057.4;-11;212.89;;115.9;;110.4;0.53;8.3;7.9;;68.53;5.15;35.68;1.09;-0.25;11.69;19.8;43.1;16.43;2
Ecuador;77.01;14.6;8.91;11043.98;19;1.66;;2.92;280;219.5;5.8;3.8;10.7;0.4;66.74;8.26;46.74;0.9;2.15;12.62;20.37;13.9;24.26;2
Saint Lucia;76.2;14;8.51;14615.57;-4;0.84;;0;;291.2;21.44;2.1;12.7;;65.15;4.55;;1.94;0;13.3;6.41;13;14.74;2
Azerbaijan;73.01;12.89;10.58;13783.68;3;11.05;351;66.52;120;219.7;2.2;1;4.3;;63.01;6.65;86.04;3.13;0.12;11.25;34.46;48.2;15.43;2
Dominican Republic;74.08;14.22;8.12;17591.07;-18;0.55;;196.6;240;245.4;10.05;3.2;17.9;0.9;64.22;6.14;52.96;3.18;-2.84;12.26;15.6;15.6;18.92;2
Moldova (Republic of);71.9;11.53;11.71;13663.61;2;2.43;;0;55;172.5;4.1;3.8;24.1;0.6;65.15;7.01;85.77;4.96;-0.34;12.35;32.07;56.6;17.92;2
Algeria;76.88;14.6;7.99;11173.96;13;4.54;2.5;5.82;450;149.2;1.36;1.8;4.9;0.1;66.3;6.37;52.04;0.87;-0.24;12.99;17.19;19;24.32;2
Lebanon;78.93;11.29;8.72;14654.53;-11;5.82;7;0;31;92.3;2.49;2.2;4.2;0.1;66.04;8.2;63.61;4.79;-4.49;13.84;21.04;27.3;12.48;2
Fiji;67.44;14.43;10.9;13009.07;1;0.59;;0;26;209.4;2.31;2.5;8.8;;59.66;3.5;;5.83;-7.03;12.76;8.6;20;28;2
Dominica;78.21;12.97;8.14;11883.96;7;0.05;;855.58;;267.6;26.59;;;;63.12;5.88;139.79;2.41;;12.72;11.19;;13.08;2
Maldives;78.92;12.2;7.02;17416.78;-24;0.08;;0;;373.4;0.72;1.6;3.6;;69.11;9.03;135.74;10.11;22.84;12.59;45.63;43;10.16;2
Tunisia;76.7;15.13;7.22;10414.06;14;2.07;0;0;110;194.6;;2.2;4.4;0.1;67.44;7.23;110.54;2.49;-0.35;13.23;13.03;21.8;16.87;2
Saint Vincent and the Grenadines;72.53;14.09;8.78;12377.65;0;0.98;;500;;426.4;36.54;0.9;3.9;;63.64;4.49;85.2;13.56;-1.82;12.76;6.65;43.2;14.39;2
Suriname;71.68;13.19;9.26;14324.38;-13;0.02;;;14;192;5.43;10.9;36.1;1.4;62.93;6.23;90.96;1.83;-1.75;13.45;12.1;30;13.39;2
Mongolia;69.87;14.21;10.25;10838.67;7;2.37;;0;73;151.5;6.18;3.8;23.3;0.1;60.44;4;125.76;17.64;-0.27;11.23;28.59;80;30.38;2
Botswana;69.59;12.85;9.56;16437.14;-27;0.23;;0;100;197;;5.7;18.3;20.3;54.06;6.13;74.11;1.23;1.34;13.15;5.27;18;23.71;2
Jamaica;74.48;13.14;9.73;9319.13;13;2.54;;0;48;132;43.85;0.9;3.2;1.9;66.51;5.99;89.03;4.93;-3.87;12.77;13.06;17.2;24.79;2
