HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupil–teacher ratio, primary school"
102.00,Jordan,0.73,74.53,11.38,10.52,9858.49,8.00,103.00,2.00,2.40,..,0.00,..,160.40,1.36,2.70,4.70,0.10,67.97,8.12,87.62,2.25,1.05,13.12,23.24,14.70,18.54
103.00,Paraguay,0.73,74.25,12.71,8.54,12223.94,-4.00,104.00,2.00,0.09,..,27.54,130.00,210.30,7.14,6.20,12.30,0.50,66.45,6.65,69.16,1.02,-2.40,13.26,13.54,8.30,24.16
104.00,Tonga,0.73,70.91,14.41,11.24,6364.58,25.00,105.00,2.00,0.03,..,0.00,..,174.30,..,2.90,5.20,..,63.91,5.27,98.22,3.34,-7.75,12.43,5.40,..,21.63
105.00,Libya,0.72,72.91,12.85,7.60,15687.71,-29.00,106.00,2.00,16.04,451.00,0.00,99.00,97.20,..,2.30,8.70,0.20,65.32,..,118.32,0.00,-0.30,13.98,20.91,32.00,..
106.00,Uzbekistan,0.72,71.73,12.06,11.81,7141.95,17.00,107.00,2.00,3.23,..,0.00,520.00,144.30,1.14,4.60,10.30,0.20,60.88,6.41,73.02,3.95,-0.28,11.05,23.74,39.80,21.51
107.00,Bolivia (Plurinational State of),0.72,71.51,14.20,9.02,8553.78,9.00,108.00,2.00,0.52,0.00,43.32,280.00,160.30,6.22,8.90,16.90,0.30,63.11,6.44,56.40,-0.39,-0.84,12.37,15.90,12.90,17.80
107.00,Indonesia,0.72,71.72,13.61,8.17,11459.10,-4.00,110.00,2.00,11.09,40.00,40.38,..,95.70,0.43,2.20,5.20,0.40,62.55,2.99,37.30,2.20,-0.37,12.38,4.27,10.40,17.03
107.00,Philippines,0.72,71.23,13.15,9.39,9777.80,4.00,111.00,2.00,0.54,182.00,393.91,2620.00,182.50,6.46,2.30,5.20,0.10,62.73,4.45,68.61,2.03,-0.63,12.68,6.00,9.90,29.08
110.00,Belize,0.72,74.62,13.11,9.92,6381.60,18.00,108.00,2.00,0.07,..,..,..,344.90,37.79,2.00,9.90,1.90,65.06,5.64,115.71,6.39,3.16,12.63,11.23,10.40,19.78
111.00,Samoa,0.72,73.32,12.73,10.78,6308.65,19.00,113.00,2.00,0.00,..,0.00,..,205.10,3.15,2.20,8.70,..,61.82,5.48,91.12,2.04,-14.30,12.30,3.45,10.00,30.24
111.00,Turkmenistan,0.72,68.19,11.19,10.27,14908.67,-32.00,112.00,2.00,0.48,..,0.00,..,528.90,..,3.70,11.00,..,62.87,6.93,35.16,4.87,-0.86,11.21,22.25,40.30,..
113.00,Venezuela (Bolivarian Republic of),0.71,72.06,12.82,10.31,7044.64,11.00,101.00,2.00,93.29,..,6.23,560.00,194.20,36.69,1.20,6.60,..,65.44,1.18,48.09,0.24,-22.33,12.81,..,8.70,..
114.00,South Africa,0.71,64.13,13.79,10.24,12129.23,-14.00,115.00,2.00,0.45,0.30,15.84,3270.00,284.00,36.40,5.10,21.70,20.40,56.18,8.11,59.20,1.32,2.54,13.77,9.05,23.00,30.33
115.00,"Palestine, State of",0.71,74.05,13.41,9.17,6417.39,12.00,114.00,2.00,96.34,243.00,10.22,..,22.20,0.49,..,..,..,64.42,..,79.60,1.80,-2.19,13.89,..,..,24.45
116.00,Egypt,0.71,71.99,13.33,7.43,11466.15,-14.00,117.00,2.00,27.52,65.00,0.00,1760.00,112.20,..,1.70,7.20,0.10,62.47,5.29,48.28,2.97,-0.39,11.98,4.52,14.30,23.68
117.00,Marshall Islands,0.70,74.11,12.39,10.89,5039.04,21.00,116.00,2.00,0.01,..,0.00,..,61.40,..,..,..,..,57.38,16.40,125.73,4.41,..,12.39,4.23,..,..
117.00,Viet Nam,0.70,75.40,12.69,8.32,7432.71,3.00,118.00,2.00,316.44,..,414.76,1330.00,137.40,..,3.40,10.80,0.30,65.74,5.53,210.40,6.32,-0.84,11.71,8.28,31.80,20.28
119.00,Gabon,0.70,66.47,12.98,8.70,13929.81,-30.00,119.00,2.00,0.44,..,38.76,80.00,173.20,..,4.30,15.00,3.80,58.82,2.78,72.94,5.02,1.56,13.26,6.82,13.00,24.53
120.00,Kyrgyzstan,0.70,71.45,12.97,11.10,4864.39,23.00,120.00,3.00,2.97,..,82.98,140.00,177.10,2.19,3.70,14.80,0.20,64.93,6.19,103.09,1.74,-0.64,11.56,22.13,44.10,24.99
